Year,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mexico,57,77,102,101,92,95,109,129,168,171,201,350,393,485,641,540,614,717,889,"1,099","1,194","1,452","1,280","1,486","1,853","2,081","2,235","2,136","2,603","2,676","3,034","3,326","3,278"
Spain,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,295","1,893","1,984","2,396","3,438","3,064","3,594","2,559","2,437","2,488","2,882","2,993"
Sweden,826,886,"1,041","1,028",861,"1,115","1,145","1,372","1,736","1,652","1,691","1,647","1,798","1,742","1,619","1,842","1,909","1,919","2,189","2,608","2,464","2,778","2,315","2,408","2,693","2,552","2,276","2,267","2,248","2,435","2,926","3,366","2,910"
Austria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,133","1,265","1,148","1,050",911,999,"1,060","1,178","1,273","1,588","1,738","2,048","2,013"
Belgium (b),393,431,542,535,460,590,636,691,872,819,823,800,800,864,881,"1,042","1,240","1,260","1,424","1,632","1,687","1,985","1,666","1,641","1,749","1,784","1,803","1,864","1,740","1,820","2,117","2,245","1,993"
Philippines,174,190,252,205,209,241,273,331,352,433,584,601,607,745,691,995,"1,005",989,"1,003","1,064","1,141","1,121",954,938,998,"1,231","1,593","1,931","1,607","1,723","1,593","1,648","1,871"
South Africa,157,113,148,153,125,172,296,371,485,566,624,738,794,"1,035","1,055","1,218","1,436","1,561","1,867","1,953","1,749","2,104","1,417","1,742","1,445","1,471","1,485","1,510","1,814","1,795","1,775","1,790","1,838"
Fiji,157,206,276,285,264,282,319,341,379,515,541,733,843,605,602,723,775,870,895,874,793,"1,008","1,014","1,187","1,283","1,291","1,385","1,449","1,559","1,508","1,494","1,715","1,794"
Denmark,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,356","1,587","1,506","1,515","1,663","1,666","1,757","1,958","1,829","1,684","1,830","1,768"
Turkey,na,na,na,na,na,na,na,na,na,na,na,na,na,213,271,290,295,410,458,544,545,646,649,674,694,776,906,986,"1,115","1,145",996,"1,263","1,420"
Finland,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,934,"1,098",764,769,998,963,874,825,791,812,925,"1,178","1,386"
Poland,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,343,443,461,409,481,606,675,870,861,991,"1,129","1,088","1,268"
Brunei,35,20,30,49,78,81,33,7,33,7,9,14,109,305,445,623,617,745,767,"1,208","1,199","1,353",785,"1,131","1,353","1,126",933,"1,002",482,376,327,819,"1,260"
Bangladesh,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,76,98,204,198,304,445,543,658,930,970,952,"1,089","1,250"
Israel,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,737,950,667,722,748,802,825,842,923,952,970,998,"1,109"
Qatar,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,258,421,462,548,644,871,983,930,949,898,964,"1,131","1,086"
Greece,230,208,275,273,225,221,263,306,309,306,315,370,366,466,442,674,344,392,486,469,812,856,771,876,936,991,"1,099","1,184","1,278",969,928,994,"1,051"
Norway,na,na,na,na,na,na,na,na,na,na,na,na,192,178,284,292,369,387,514,490,821,"1,034",822,875,801,877,878,901,878,815,885,983,"1,046"
Brazil,na,na,na,na,na,na,na,na,na,na,na,na,na,677,550,494,514,584,782,910,"1,011","1,370",759,876,927,771,744,866,780,940,911,"1,016","1,043"
Algeria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,159,251,159,152,290,12,91,8,8,375,435,741,906
Argentina,na,na,na,na,na,na,na,na,na,na,na,na,na,118,188,201,222,206,251,273,391,529,542,436,683,764,982,897,917,784,875,836,883
Libya,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,6,20,59,364,200,"1,122",763,9,21,9,56,723,873
Chile,33,37,71,69,51,50,45,68,120,113,125,101,84,131,167,172,202,175,240,307,594,999,893,"1,162","1,184","1,456","1,252","1,223","1,146",807,763,782,860
Czech Republic,,,,,,,na,na,na,na,na,na,na,na,na,na,na,na,na,na,255,404,272,301,420,472,694,672,883,784,749,745,822
Hungary,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,366,450,473,482,446,357,364,528,598,628,656,654,792
Sri Lanka,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,186,199,233,268,299,329,383,384,405,451,562,710,709
Saudi Arabia,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,467","1,301","1,228",945,"1,059","1,371","1,268","1,075",953,690,457,444,536,311,475,494,496,464,663,587
Nigeria,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,8,13,270,797,"2,057","2,648","1,884","1,628",15,19,533,654,586
Russian Federation (e),108,133,164,139,124,190,250,211,170,113,32,71,48,89,111,135,69,105,162,148,248,715,453,480,"1,108",977,"1,203","1,445",432,307,514,393,557
Pakistan,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,201,220,223,227,249,265,282,296,377,469,445,499,538
Cambodia,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,107,108,114,128,170,202,251,299,361,423,389,396,481
